model,false_positive_rate,true_positive_rate,threshold
MLP,0.0940650792364592,0.4462833987590224,0.43026939034461975
MLP,0.09458599094771204,0.44747372419906295,0.42866653203964233
MLP,0.09518793336960422,0.44855008230973786,0.4267767071723938
MLP,0.09589405813374698,0.44966442953020136,0.4248834252357483
MLP,0.09650757637144478,0.45071546156768394,0.4231589436531067
MLP,0.09712109460914257,0.451728504495378,0.4213840663433075
MLP,0.0976883095836179,0.4528681777890338,0.41949012875556946
MLP,0.09834813108453819,0.45383056857034315,0.417664110660553
MLP,0.09889219442740227,0.4548436114980372,0.4159083962440491
MLP,0.09947098521768322,0.4555274154742307,0.4147142171859741
MLP,0.10014238253440912,0.45643915410915537,0.41287752985954285
MLP,0.10072117332469006,0.45755350132961886,0.4113291800022125
MLP,0.10127681248335976,0.4585538812207167,0.40996626019477844
MLP,0.1019713614316969,0.4594656198556414,0.4084872007369995
MLP,0.10268906201164527,0.4604533367101431,0.4068550765514374
MLP,0.10333730769675993,0.46159301000379893,0.405426025390625
MLP,0.10391609848704088,0.4625807268583006,0.4039633274078369
MLP,0.10442543438248811,0.46382170444472587,0.4025336802005768
MLP,0.10505052843599152,0.4646701278966696,0.4014304280281067
MLP,0.1057682290159399,0.465847790300114,0.3997451066970825
MLP,0.10630071654299837,0.4668228441180195,0.3984811007976532
MLP,0.10716890272841978,0.46784855008230974,0.396979957818985
MLP,0.10782872422934006,0.46906420159554263,0.3955950140953064
MLP,0.10851169736187158,0.4698366468279093,0.3944240212440491
MLP,0.10907891233634691,0.47083702671900723,0.3929632902145386
MLP,0.1097503096530728,0.4718500696467013,0.3916531801223755
MLP,0.11030594881174251,0.47290110168418387,0.390370637178421
MLP,0.11102364939169088,0.4739014815752818,0.38876307010650635
MLP,0.11167189507680554,0.47480055717361025,0.3876054286956787
MLP,0.1122622616828921,0.475648980625554,0.38655897974967957
MLP,0.11286420410478429,0.4765987083702672,0.38535767793655396
MLP,0.11358190468473266,0.47751044700519185,0.38429945707321167
MLP,0.11435748434370913,0.4784728377865012,0.38297969102859497
MLP,0.1150173058446294,0.4793465873116373,0.38185882568359375
MLP,0.11558452081910472,0.480258325946562,0.3807920515537262
MLP,0.11619803905680252,0.4812080536912752,0.37973538041114807
MLP,0.1170314977948071,0.482347726984931,0.378223717212677
MLP,0.11769131929572736,0.48310750918070156,0.37716493010520935
MLP,0.11825853427020269,0.48401924781562616,0.37586960196495056
MLP,0.11886047669209487,0.4850069646701279,0.3748341202735901
MLP,0.11949714656140391,0.48580473597568696,0.37371498346328735
MLP,0.12020327132554667,0.4866658224642269,0.37252622842788696
MLP,0.12092097190549504,0.4876282132455363,0.37119680643081665
MLP,0.12155764177480408,0.48853995188046095,0.3699808716773987
MLP,0.12221746327572436,0.48959098391794353,0.36859309673309326
MLP,0.12284255732922778,0.4905913638090414,0.36731672286987305
MLP,0.12358340954078739,0.4917310371026972,0.3659648895263672
MLP,0.12428953430493014,0.49273141699379513,0.3646734654903412
MLP,0.12498408325326728,0.49342788400658477,0.3635808825492859
MLP,0.12566705638579878,0.4943142965683171,0.36241018772125244
MLP,0.1263500295183303,0.49530201342281877,0.36109432578086853
MLP,0.12706773009827868,0.4963530454603014,0.35988733172416687
MLP,0.12777385486242143,0.49730277320501454,0.35864269733428955
MLP,0.12849155544236981,0.4982651639863239,0.3574061393737793
MLP,0.1291629527590957,0.4991769026212486,0.3562857508659363
MLP,0.12977647099679349,0.5001266303659617,0.35532012581825256
MLP,0.13042471668190816,0.5011270102570596,0.3543860912322998
MLP,0.13123502378830149,0.502089401038369,0.3531794548034668
MLP,0.13201060344727794,0.5030517918196784,0.3520575165748596
MLP,0.13269357657980946,0.5039508674180069,0.35099995136260986
MLP,0.1333881255281466,0.5047739647967583,0.3500911295413971
MLP,0.13397849213423316,0.5055210839559326,0.3490266799926758
MLP,0.13453413129290287,0.5064708117006458,0.347938597202301
MLP,0.13518237697801752,0.5074965176649361,0.3469211757183075
MLP,0.1357843193999097,0.5086235279219957,0.34574633836746216
MLP,0.13636311019019065,0.5094339622641509,0.3447774648666382
MLP,0.13697662842788846,0.510307711789287,0.34368640184402466
MLP,0.13765960156041998,0.5112067873876156,0.34255528450012207
MLP,0.13845833285100767,0.5121565151323287,0.3413572907447815
MLP,0.13915288179934482,0.5132455362795999,0.34005558490753174
MLP,0.13968536932640327,0.5141446118779284,0.3392682671546936
MLP,0.14022943266926738,0.514980372293276,0.33838462829589844
MLP,0.14087767835438203,0.5159554261111815,0.3372570872306824
MLP,0.14151434822369108,0.517145751551222,0.33593013882637024
MLP,0.14217416972461133,0.5180954792959351,0.33486199378967285
MLP,0.14294974938358782,0.5188425984551095,0.33377042412757874
MLP,0.14370217741095304,0.5200709130049386,0.33223918080329895
MLP,0.1444083021750958,0.5210206407496518,0.3311098515987396
MLP,0.14507969949182167,0.5220210206407496,0.32989031076431274
MLP,0.14568164191371386,0.5227048246169431,0.32898303866386414
MLP,0.14627200851980043,0.5238065088008105,0.32776254415512085
MLP,0.14695498165233195,0.5247309104723312,0.32667285203933716
MLP,0.14749904499519603,0.5255160187412942,0.3258320093154907
MLP,0.14826304883836688,0.5262631379004685,0.32470792531967163
MLP,0.14896917360250964,0.5272635177915664,0.32356107234954834
MLP,0.1496752983666524,0.5282132455362796,0.32238245010375977
MLP,0.15036984731498954,0.5293655818665316,0.3211676776409149
MLP,0.15093706228946485,0.5303406356844371,0.32003259658813477
MLP,0.15153900471135703,0.5311637330631885,0.3189161717891693
MLP,0.1523145843703335,0.5320881347347094,0.3176659047603607
MLP,0.15300913331867064,0.5330758515892111,0.3165068030357361
MLP,0.153726833898619,0.5337849816385969,0.3156225383281708
MLP,0.15443295866276177,0.5348993288590604,0.31445395946502686
MLP,0.15510435597948766,0.535874382676966,0.3134051561355591
MLP,0.15598411798071468,0.5369760668608332,0.3120236098766327
MLP,0.15673654600807993,0.5379384576421425,0.3107725977897644
MLP,0.15725745771933278,0.5389261744966443,0.30980563163757324
MLP,0.1578941275886418,0.5396732936558186,0.30884090065956116
MLP,0.1585076458263396,0.5405470431809548,0.30764105916023254
MLP,0.1591674673272599,0.5414334557426871,0.30639946460723877
MLP,0.15976940974915207,0.5422818791946309,0.3054187297821045
MLP,0.16040607961846112,0.5433962264150943,0.3042446970939636
MLP,0.16121638672485444,0.5441180195010764,0.3032500743865967
MLP,0.16184148077835786,0.5449917690262125,0.3019910752773285
MLP,0.1624202715686388,0.5457262251487907,0.30099084973335266
MLP,0.1633463368330883,0.5464986703811574,0.2999051511287689
MLP,0.16405246159723105,0.5473470938331012,0.29890358448028564
MLP,0.16472385891395697,0.5480942129922756,0.2978662848472595
MLP,0.16545313530971095,0.5489299734076232,0.29662954807281494
MLP,0.16613610844224247,0.5498923641889325,0.29534319043159485
MLP,0.1668306573905796,0.5508420919336456,0.2940324544906616
MLP,0.16754835797052797,0.5517031784221856,0.29286298155784607
MLP,0.168428119971755,0.5524376345447638,0.2917332053184509
MLP,0.16923842707814835,0.5533746992528809,0.29055923223495483
MLP,0.1700834616319585,0.5540838293022666,0.2894124388694763
MLP,0.1708706171067406,0.5549955679371913,0.288295716047287
MLP,0.17164619676571707,0.5559452956819045,0.287011057138443
MLP,0.17250280713533286,0.5566797518044827,0.2857794463634491
MLP,0.17333626587333742,0.5575281752564265,0.2845075726509094
MLP,0.17390348084781274,0.5584399138913512,0.2836621403694153
MLP,0.17465590887517798,0.5593263264530834,0.28246623277664185
MLP,0.17526942711287577,0.560086108648854,0.28140419721603394
MLP,0.17604500677185225,0.5610358363935671,0.28005340695381165
MLP,0.17685531387824557,0.5618842598455109,0.27876681089401245
MLP,0.17775822751108383,0.5626567050778777,0.2776713967323303
MLP,0.17853380717006032,0.5634291503102444,0.27650782465934753
MLP,0.17917047703936934,0.5643535519817652,0.27518293261528015
MLP,0.1799344808825402,0.5650880081043435,0.27409934997558594
MLP,0.18076793962054477,0.5661896922882107,0.272693395614624
MLP,0.18156667091113246,0.5670887678865392,0.2713898718357086
MLP,0.18229594730688645,0.5678738761555021,0.270075261592865
MLP,0.18301364788683483,0.5686969735342535,0.2688213884830475
MLP,0.18373134846678318,0.5695580600227934,0.26754775643348694
MLP,0.18450692812575967,0.5703811574015449,0.2661800980567932
MLP,0.18529408360054175,0.5713435481828543,0.2647245228290558
MLP,0.18604651162790697,0.572331265037356,0.2634648382663727
MLP,0.18669475731302163,0.5732556667088768,0.2622693181037903
MLP,0.18749348860360934,0.5740914271242243,0.26115697622299194
MLP,0.1882111891835577,0.5751297961251108,0.25963571667671204
MLP,0.18899834465833978,0.5760415347600355,0.2583716809749603
MLP,0.18963501452764883,0.5769532733949602,0.2570197582244873
MLP,0.19021380531792978,0.5778523489932886,0.2562254071235657
MLP,0.19073471702918263,0.5787514245916171,0.2551639676094055
