model,split,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,tn,fp,fn,tp,selected
mlp,validation,0.88,0.5305655180285718,0.6026311329684335,0.9429414216889086,0.22533637659045913,0.9799258893464079,0.3637473957193616,0.1423084201420178,527841,10813,614316,178694,False
mlp,validation,0.89,0.5194268223816217,0.5937685586860518,0.9465060915838118,0.20455731957982876,0.9829797977922748,0.33641022237799073,0.12869913131240313,529486,9168,630794,162216,False
mlp,validation,0.9,0.5080703540833124,0.5846850272587423,0.9500675468422667,0.1835739776295381,0.9857960768879466,0.3076945839150234,0.115064310516767,531003,7651,647434,145576,False
mlp,validation,0.91,0.4965344110826755,0.5754061445765537,0.9534969770074965,0.16247840506424888,0.9883338840888585,0.27764531466662934,0.10147529707193406,532370,6284,664163,128847,False
mlp,validation,0.92,0.4849391438080477,0.5660292193242558,0.9566933833560709,0.1414874970050819,0.9905709416434297,0.246517044018939,0.08807026397049106,533575,5079,680809,112201,False
mlp,validation,0.93,0.4733288577298778,0.5566054448742374,0.9599654753660715,0.12061638566978979,0.992594504078685,0.21430595900516328,0.0748229283062394,534665,3989,697360,95650,False
mlp,validation,0.94,0.4619220764397025,0.5473504542689758,0.964682862802766,0.10009583737909988,0.9946050711588516,0.1813724090104685,0.06178961059246176,535748,2906,713633,79377,False
mlp,validation,0.95,0.450757097886554,0.5382523393459212,0.969828703915557,0.08017679474407637,0.9963278839477661,0.14810923758020614,0.049230887070612406,536676,1978,729429,63581,False
xgboost,validation,0.01,0.5960880522414063,0.5007236941478789,0.5958519206450464,0.9999974779637079,0.0014499103320498874,0.7467501863325378,0.9994120138413294,781,537873,2,793008,False
xgboost,validation,0.02,0.5993238534645376,0.5047458085894934,0.5977984382044327,0.9999029016027541,0.00958871557623261,0.7482504746554738,0.9960635715916327,5165,533489,77,792933,False
xgboost,validation,0.03,0.6044445145321943,0.5111353186031968,0.6009182831122778,0.9996494369553978,0.022621200250996003,0.7506181910803419,0.9906410325727811,12185,526469,278,792732,False
xgboost,validation,0.04,0.6109754412524481,0.5193276087933323,0.6049704436581756,0.9991437686788313,0.03951144890783323,0.7536276960420638,0.9835078518304918,21283,517371,679,792331,False
xgboost,validation,0.05,0.6182918513979503,0.5285462155436988,0.6096035910485569,0.9984035510270993,0.058688880060298446,0.7569996103824705,0.9753098379170722,31613,507041,1266,791744,False
xgboost,validation,0.06,0.6258658340241983,0.5381359068057238,0.614510426353608,0.9974401331635162,0.07883168044793132,0.7604915149210574,0.9665884187002126,42463,496191,2030,790980,False
xgboost,validation,0.07,0.6331792404089921,0.5474258287026894,0.6193521635048763,0.9963821389389793,0.09846951846639958,0.7638773683223412,0.9580149346982422,53041,485613,2869,790141,False
xgboost,validation,0.08,0.6399407057636161,0.556072199432396,0.6239441118521962,0.9951602123554558,0.11698418650933623,0.7669973399059783,0.949798147280395,63014,475640,3838,789172,False
xgboost,validation,0.09,0.6463702555599611,0.564341931792264,0.6284178278044728,0.9937957907214284,0.1348880728630995,0.7699590053422019,0.9417435629408019,72658,465996,4920,788090,False
xgboost,validation,0.1,0.6524678897980272,0.5722347280517173,0.6327677073734016,0.9922901350550435,0.152179321048391,0.7727591442157177,0.9338526835598169,81972,456682,6114,786896,False
xgboost,validation,0.11,0.6582568876233044,0.579765965763953,0.636994292765945,0.990699991172873,0.1688319403550331,0.7754161778995508,0.926169814607889,90942,447712,7375,785635,False
xgboost,validation,0.12,0.663879176729265,0.5871203118705316,0.6411978331215836,0.9889862675123895,0.1852543562286737,0.7779929291045516,0.918506470100566,99788,438866,8734,784276,False
