model,recall,precision,threshold
MLP,0.9772112897131064,0.6257297605826917,0.017855476588010788
MLP,0.9768334156904921,0.6261702365523724,0.0180722177028656
MLP,0.9764038665878622,0.6265759165341961,0.018302561715245247
MLP,0.9759581690227274,0.6269747079693757,0.018511852249503136
MLP,0.9755706059226101,0.6274117600629774,0.018722139298915863
MLP,0.9751927318999958,0.6278533970448185,0.018931174650788307
MLP,0.974737345257358,0.6282460402212355,0.01914416439831257
MLP,0.9742819586147203,0.6286421626037269,0.019359836354851723
MLP,0.9738750173595971,0.6290743862342908,0.01957026682794094
MLP,0.9734260901019613,0.6294751571604603,0.01977729983627796
MLP,0.9730159191543373,0.6298979483030064,0.019993796944618225
MLP,0.9725928294367093,0.6303119734597553,0.02020147442817688
MLP,0.9722117257215941,0.6307554657804636,0.020403435453772545
MLP,0.9717692578489602,0.6311574275100111,0.02060694247484207
MLP,0.9713203305913244,0.6315560688786225,0.020836031064391136
MLP,0.9709069299511993,0.6319787083306179,0.021036798134446144
MLP,0.9705096777735792,0.6324154593438787,0.02124267816543579
MLP,0.9700930474409531,0.632837864885649,0.02146017551422119
MLP,0.9697022546483349,0.6332820795130254,0.02166019193828106
MLP,0.9692081116956854,0.6336556937435335,0.021872645244002342
MLP,0.9687559547455487,0.6340602916711586,0.0220881886780262
MLP,0.9682327445603904,0.6344192286855828,0.022297773510217667
MLP,0.9677612094552478,0.6348182374787349,0.02252136915922165
MLP,0.9672606071175963,0.6351950081973645,0.022743364796042442
MLP,0.9667987610899567,0.6356007958094728,0.02294539473950863
MLP,0.966327225984814,0.6359970580983071,0.02314898930490017
MLP,0.9659332034996948,0.6364452748440695,0.02336481399834156
MLP,0.9654293714695423,0.6368261272489055,0.02357466332614422
MLP,0.9649707551344037,0.637237693257605,0.023787904530763626
MLP,0.9645185981842669,0.6376571771422959,0.023992454633116722
MLP,0.9639953879991086,0.6380264890469758,0.024206696078181267
MLP,0.9635464607414728,0.6384431181293108,0.024407871067523956
MLP,0.9630716959438292,0.6388449104374969,0.0246070958673954
MLP,0.9625937014536846,0.6392536874864608,0.024809803813695908
MLP,0.9620963288085341,0.6396395235733289,0.025017419829964638
MLP,0.9615957264708828,0.6400282034084851,0.025217892602086067
MLP,0.9611564882907498,0.640457272719447,0.025415588170289993
MLP,0.9606784938006052,0.6408614567892723,0.025630153715610504
MLP,0.9601682023854509,0.6412519008228811,0.025844130665063858
